client_number,customer_name,card_category,annual_fees,activation,customer_execuation_cast,week_start,week_number,quater,current_year,credit_limit,total_revolving_balance,total_transection_amount,total_transection_count,average_utilization_ratio,use_chip,expendeture_type,interest_earn,deliquent_account
C100001,Ali Khan,Gold,150,1,113.36,2024-03-11,11,1,2024,16490,6859.17,11084.81,37,0.416,swipe,Grocery,1873.86,0
C100002,Mumtaz Ahmed,Silver,50,1,39.5,2024-02-12,7,1,2024,6128,3592.45,388.57,8,0.5862,chip,Utilities,713.52,0
C100003,Ateeq Aziz,Blue,20,1,27.29,2024-09-30,40,4,2024,4172,2044.31,485.98,6,0.49,online,Utilities,448.17,0
C100004,Ibrahim Naeem,Platinum,300,1,127.92,2024-03-18,12,1,2024,35757,12798.46,32949.65,67,0.3579,swipe,Healthcare,1884.4,0
C100005,Sara Rashid,Platinum,300,1,91.67,2024-02-12,7,1,2024,22936,2443.23,10827.72,41,0.1065,online,Grocery,727.84,0
C100006,Farah Nazir,Blue,20,1,37.34,2024-08-19,34,3,2024,2458,1034.27,63.81,1,0.4208,swipe,Grocery,163.97,0
C100007,Nadia Ahmed,Silver,50,1,69.51,2024-11-11,46,4,2024,7496,1974.51,1156.93,13,0.2634,online,Fuel,314.21,0
C100008,Aisha Hussain,Gold,150,1,158.19,2024-02-05,6,1,2024,17918,3756.11,21064.04,37,0.2096,chip,Grocery,908.32,0
C100009,Imran Mir,Gold,150,1,24.6,2024-06-24,26,2,2024,15275,2808.72,15048.13,39,0.1839,chip,Entertainment,677.87,0
C100010,Aisha Nazir,Gold,150,1,135.1,2024-04-29,18,2,2024,15771,2703.11,11303.57,26,0.1714,chip,Education,563.16,0
C100011,Zubair Qureshi,Gold,150,1,132.53,2024-01-29,5,1,2024,15888,3300.4,7667.14,30,0.2077,chip,Food,654.08,0
C100012,Rehan Javed,Blue,20,1,9.92,2024-10-14,42,4,2024,2985,1412.28,149.67,3,0.4731,swipe,Shopping,308.32,1
C100013,Rana Aslam,Platinum,300,1,325.19,2024-03-11,11,1,2024,37999,7046.79,55935.06,69,0.1854,online,Travel,1348.23,0
C100014,Zubair Aziz,Blue,20,1,40.48,2024-10-21,43,4,2024,4365,1633.5,492.05,5,0.3742,online,Shopping,457.99,1
C100015,Hussain Shah,Silver,50,1,25.38,2024-02-26,9,1,2024,8220,1937.34,2122.17,21,0.2357,chip,Travel,496.26,0
C100016,Leen Nazir,Blue,20,1,44.6,2024-08-26,35,3,2024,3494,2201.1,267.85,4,0.63,swipe,Entertainment,558.97,0
C100017,Mohammad Batool,Gold,150,1,65.74,2024-09-30,40,4,2024,12746,1720.95,9330.85,29,0.135,online,Shopping,308.12,0
C100018,Leen Butt,Silver,50,0,56.82,2024-05-13,20,2,2024,6884,694.19,3196.63,19,0.1008,swipe,Travel,128.37,0
C100019,Zain Riaz,Gold,150,1,113.41,2024-09-16,38,3,2024,15125,2254.45,9118.56,28,0.1491,swipe,Utilities,429.94,0
C100020,Noor Aziz,Platinum,300,0,125.43,2024-01-01,1,1,2024,31498,13881.4,39162.06,78,0.4407,swipe,Shopping,3491.48,0
C100021,Ali Ullah,Silver,50,0,77.64,2024-06-03,23,2,2024,5561,1219.97,1118.73,9,0.2194,chip,Food,297.67,0
C100022,Kiran Ahmed,Blue,20,1,37.82,2024-02-05,6,1,2024,3763,2831.87,427.66,5,0.7526,swipe,Travel,769.18,1
C100023,Naveed Aziz,Blue,20,1,25.98,2024-11-04,45,4,2024,2285,1494.21,166.81,4,0.6539,online,Utilities,332.62,0
C100024,Yasir Khalil,Blue,20,0,22.46,2024-11-25,48,4,2024,3838,1320.37,232.16,3,0.344,online,Education,335.82,0
C100025,Latif Anjum,Blue,20,1,41.01,2024-01-08,2,1,2024,1991,929.86,287.85,6,0.467,swipe,Bills,194.73,1
C100026,Bilal Khan,Blue,20,1,12.84,2024-04-22,17,2,2024,4305,1952.63,659.91,8,0.4536,chip,Food,474.34,0
C100027,Aisha Shah,Blue,20,1,6.57,2024-04-15,16,2,2024,4706,1696.38,639.26,7,0.3605,swipe,Travel,458.56,0
C100028,Kiran Yousaf,Silver,50,1,42.89,2024-07-22,30,3,2024,6066,760.45,2013.7,14,0.1254,chip,Grocery,204.63,0
C100029,Leen Nawaz,Silver,50,1,52.35,2024-01-22,4,1,2024,6968,1101.11,1843.39,12,0.158,swipe,Grocery,172.32,1
C100030,Hamza Naeem,Platinum,300,1,343.09,2024-04-01,14,2,2024,30085,8395.51,44034.45,69,0.2791,swipe,Education,1945.66,1
C100031,Omar Javed,Silver,50,1,91.85,2024-02-05,6,1,2024,5772,1717.44,1498.86,9,0.2975,online,Bills,256.26,1
C100032,Mumtaz Pervez,Blue,20,1,51.25,2024-04-29,18,2,2024,1327,233.13,53.61,2,0.1757,chip,Healthcare,35.35,0
C100033,Sana Riaz,Silver,50,1,67.45,2024-07-08,28,3,2024,7838,806.4,1687.81,9,0.1029,chip,Healthcare,184.94,0
